"","nuB","nuF","TB","TF","nuF_scaled_dip_fixtheta","TF_scaled_gen_fixtheta","LL_model","LL_data","LL_diff"
"2354",1.45113705136,0.0200711202940634,0.134144811632977,9.0991268831718e-05,330.74700697304,2.99884504560231,-384.026065801329,-147.838757443416,-196.675409698277
"2355",1.45113705136,0.0221827998797455,0.134144811632977,9.0991268831718e-05,365.544850462474,2.99884504560231,-265.505599985307,-147.838757443416,-78.1549438822549
"2356",1.45113705136,0.0245166489610638,0.134144811632977,9.0991268831718e-05,404.003769898134,2.99884504560231,-207.824577660242,-147.838757443416,-20.4739215571899
"2357",1.45113705136,0.0270960419576633,0.134144811632977,9.0991268831718e-05,446.508946536671,2.99884504560231,-187.909628055,-147.838757443416,-0.558971951948479
"2358",1.45113705136,0.0299468125084086,0.134144811632977,9.0991268831718e-05,493.486086497552,2.99884504560231,-195.719068546488,-147.838757443416,-8.36841244343668
"2359",1.45113705136,0.0330975122054733,0.134144811632977,9.0991268831718e-05,545.405684377858,2.99884504560231,-225.112757579831,-147.838757443416,-37.7621014767792
"2360",1.45113705136,0.0365796965498038,0.134144811632977,9.0991268831718e-05,602.787735441363,2.99884504560231,-270.930859467364,-147.838757443416,-83.5802033643122
"2361",1.45113705136,0.0404282409919152,0.134144811632977,9.0991268831718e-05,666.206943576325,2.99884504560231,-328.872609160258,-147.838757443416,-141.521953057207
"2362",1.45113705136,0.0446816902232923,0.134144811632977,9.0991268831718e-05,736.298477181745,2.99884504560231,-395.384679938259,-147.838757443416,-208.034023835207
"2363",1.45113705136,0.0493826442166878,0.134144811632977,9.0991268831718e-05,813.764330629565,2.99884504560231,-467.559448029322,-147.838757443416,-280.20879192627
"2364",1.45113705136,0.0545781848816613,0.134144811632977,9.0991268831718e-05,899.380355015358,2.99884504560231,-543.04316681443,-147.838757443416,-355.692510711378
"2365",1.45113705136,0.060320347608486,0.134144811632977,9.0991268831718e-05,994.004028613248,2.99884504560231,-619.95383429731,-147.838757443416,-432.603178194258
"2366",1.45113705136,0.0666666424231189,0.134144811632977,9.0991268831718e-05,1098.58304485925,2.99884504560231,-696.808359178191,-147.838757443416,-509.457703075139
"2367",1.45113705136,0.0736806299728077,0.134144811632977,9.0991268831718e-05,1214.16480387506,2.99884504560231,-772.458498570195,-147.838757443416,-585.107842467143
"2368",1.45113705136,0.0814325581110589,0.134144811632977,9.0991268831718e-05,1341.90690259364,2.99884504560231,-846.034949941677,-147.838757443416,-658.684293838625
"2369",1.45113705136,0.0900000654576146,0.134144811632977,9.0991268831718e-05,1483.08872854936,2.99884504560231,-916.89892479463,-147.838757443416,-729.548268691578
"2370",1.45113705136,0.0994689589798715,0.134144811632977,9.0991268831718e-05,1639.12427344912,2.99884504560231,-984.600506742776,-147.838757443416,-797.249850639724
"2371",1.45113705136,0.109934073383524,0.134144811632977,9.0991268831718e-05,1811.57629485733,2.99884504560231,-1048.84309587744,-147.838757443416,-861.492439774389
"2372",1.45113705136,0.12150022091957,0.134144811632977,9.0991268831718e-05,2002.17196782967,2.99884504560231,-1109.45325911441,-147.838757443416,-922.102603011357
"2373",1.45113705136,0.134283241120371,0.134144811632977,9.0991268831718e-05,2212.82018325297,2.99884504560231,-1166.3553382082,-147.838757443416,-979.004682105151
