"","SampleId","PopId","SubPopId","K","run","variable","value"
"168","ENPCA03","ENP","CA","K = 1",6,"Cluster1",1
"169","ENPCA04","ENP","CA","K = 1",6,"Cluster1",1
"170","ENPCA05","ENP","CA","K = 1",6,"Cluster1",1
"171","ENPCA06","ENP","CA","K = 1",6,"Cluster1",1
"172","ENPCA07","ENP","CA","K = 1",6,"Cluster1",1
"173","ENPCA08","ENP","CA","K = 1",6,"Cluster1",1
"174","ENPCA09","ENP","CA","K = 1",6,"Cluster1",1
"175","ENPOR10","ENP","OR","K = 1",6,"Cluster1",1
"176","ENPOR11","ENP","OR","K = 1",6,"Cluster1",1
"177","ENPOR12","ENP","OR","K = 1",6,"Cluster1",1
"178","ENPOR13","ENP","OR","K = 1",6,"Cluster1",1
"179","ENPWA14","ENP","WA","K = 1",6,"Cluster1",1
"180","ENPWA15","ENP","WA","K = 1",6,"Cluster1",1
"181","ENPAK19","ENP","AK","K = 1",7,"Cluster1",1
"182","ENPAK20","ENP","AK","K = 1",7,"Cluster1",1
"183","ENPAK21","ENP","AK","K = 1",7,"Cluster1",1
"184","ENPAK22","ENP","AK","K = 1",7,"Cluster1",1
"185","ENPAK23","ENP","AK","K = 1",7,"Cluster1",1
"186","ENPAK24","ENP","AK","K = 1",7,"Cluster1",1
"187","ENPAK25","ENP","AK","K = 1",7,"Cluster1",1
"188","ENPAK26","ENP","AK","K = 1",7,"Cluster1",1
"189","ENPAK27","ENP","AK","K = 1",7,"Cluster1",1
"190","ENPAK28","ENP","AK","K = 1",7,"Cluster1",1
"191","ENPAK29","ENP","AK","K = 1",7,"Cluster1",1
"192","ENPAK30","ENP","AK","K = 1",7,"Cluster1",1
"193","ENPBC16","ENP","BC","K = 1",7,"Cluster1",1
"194","ENPBC17","ENP","BC","K = 1",7,"Cluster1",1
"195","ENPBC18","ENP","BC","K = 1",7,"Cluster1",1
"196","ENPCA01","ENP","CA","K = 1",7,"Cluster1",1
"197","ENPCA02","ENP","CA","K = 1",7,"Cluster1",1
"198","ENPCA03","ENP","CA","K = 1",7,"Cluster1",1
"199","ENPCA04","ENP","CA","K = 1",7,"Cluster1",1
"200","ENPCA05","ENP","CA","K = 1",7,"Cluster1",1
"201","ENPCA06","ENP","CA","K = 1",7,"Cluster1",1
"202","ENPCA07","ENP","CA","K = 1",7,"Cluster1",1
"203","ENPCA08","ENP","CA","K = 1",7,"Cluster1",1
"204","ENPCA09","ENP","CA","K = 1",7,"Cluster1",1
"205","ENPOR10","ENP","OR","K = 1",7,"Cluster1",1
"206","ENPOR11","ENP","OR","K = 1",7,"Cluster1",1
"207","ENPOR12","ENP","OR","K = 1",7,"Cluster1",1
"208","ENPOR13","ENP","OR","K = 1",7,"Cluster1",1
"209","ENPWA14","ENP","WA","K = 1",7,"Cluster1",1
"210","ENPWA15","ENP","WA","K = 1",7,"Cluster1",1
"211","ENPAK19","ENP","AK","K = 1",8,"Cluster1",1
"212","ENPAK20","ENP","AK","K = 1",8,"Cluster1",1
"213","ENPAK21","ENP","AK","K = 1",8,"Cluster1",1
"214","ENPAK22","ENP","AK","K = 1",8,"Cluster1",1
"215","ENPAK23","ENP","AK","K = 1",8,"Cluster1",1
"216","ENPAK24","ENP","AK","K = 1",8,"Cluster1",1
"217","ENPAK25","ENP","AK","K = 1",8,"Cluster1",1
"218","ENPAK26","ENP","AK","K = 1",8,"Cluster1",1
"219","ENPAK27","ENP","AK","K = 1",8,"Cluster1",1
"220","ENPAK28","ENP","AK","K = 1",8,"Cluster1",1
"221","ENPAK29","ENP","AK","K = 1",8,"Cluster1",1
"222","ENPAK30","ENP","AK","K = 1",8,"Cluster1",1
"223","ENPBC16","ENP","BC","K = 1",8,"Cluster1",1
"224","ENPBC17","ENP","BC","K = 1",8,"Cluster1",1
"225","ENPBC18","ENP","BC","K = 1",8,"Cluster1",1
"226","ENPCA01","ENP","CA","K = 1",8,"Cluster1",1
"227","ENPCA02","ENP","CA","K = 1",8,"Cluster1",1
"228","ENPCA03","ENP","CA","K = 1",8,"Cluster1",1
"229","ENPCA04","ENP","CA","K = 1",8,"Cluster1",1
"230","ENPCA05","ENP","CA","K = 1",8,"Cluster1",1
"231","ENPCA06","ENP","CA","K = 1",8,"Cluster1",1
"232","ENPCA07","ENP","CA","K = 1",8,"Cluster1",1
"233","ENPCA08","ENP","CA","K = 1",8,"Cluster1",1
"234","ENPCA09","ENP","CA","K = 1",8,"Cluster1",1
"235","ENPOR10","ENP","OR","K = 1",8,"Cluster1",1
"236","ENPOR11","ENP","OR","K = 1",8,"Cluster1",1
"237","ENPOR12","ENP","OR","K = 1",8,"Cluster1",1
"238","ENPOR13","ENP","OR","K = 1",8,"Cluster1",1
"239","ENPWA14","ENP","WA","K = 1",8,"Cluster1",1
"240","ENPWA15","ENP","WA","K = 1",8,"Cluster1",1
"241","ENPAK19","ENP","AK","K = 1",9,"Cluster1",1
"242","ENPAK20","ENP","AK","K = 1",9,"Cluster1",1
