"","sample","winhetbin_center","winhet_min","winhetbin_max","count"
"43","ENPAK19",6.3,6.225,6.375,0
"44","ENPAK19",6.45,6.375,6.525,0
"45","ENPAK19",6.6,6.525,6.675,0
"46","ENPAK19",6.75,6.675,6.825,0
"47","ENPAK19",6.9,6.825,6.975,0
"48","ENPAK19",7.05,6.975,7.125,0
"49","ENPAK19",7.2,7.125,7.275,0
"50","ENPAK19",7.35,7.275,7.425,0
"51","ENPAK19",7.5,7.425,7.575,0
"52","ENPAK19",7.65,7.575,7.725,0
"53","ENPAK19",7.8,7.725,7.875,0
"54","ENPAK19",7.95,7.875,8.025,0
"55","ENPAK19",8.1,8.025,8.175,0
"56","ENPAK20",0,-0.075,0.075,4
"57","ENPAK20",0.15,0.075,0.225,4
"58","ENPAK20",0.3,0.225,0.375,7
"59","ENPAK20",0.45,0.375,0.525,23
"60","ENPAK20",0.6,0.525,0.675,44
"61","ENPAK20",0.75,0.675,0.825,58
"62","ENPAK20",0.9,0.825,0.975,103
"63","ENPAK20",1.05,0.975,1.125,154
"64","ENPAK20",1.2,1.125,1.275,196
"65","ENPAK20",1.35,1.275,1.425,229
"66","ENPAK20",1.5,1.425,1.575,220
"67","ENPAK20",1.65,1.575,1.725,222
"68","ENPAK20",1.8,1.725,1.875,186
"69","ENPAK20",1.95,1.875,2.025,156
"70","ENPAK20",2.1,2.025,2.175,145
"71","ENPAK20",2.25,2.175,2.325,121
"72","ENPAK20",2.4,2.325,2.475,87
"73","ENPAK20",2.55,2.475,2.625,86
"74","ENPAK20",2.7,2.625,2.775,67
"75","ENPAK20",2.85,2.775,2.925,46
"76","ENPAK20",3,2.925,3.075,39
"77","ENPAK20",3.15,3.075,3.225,33
"78","ENPAK20",3.3,3.225,3.375,8
"79","ENPAK20",3.45,3.375,3.525,12
"80","ENPAK20",3.6,3.525,3.675,7
"81","ENPAK20",3.75,3.675,3.825,6
"82","ENPAK20",3.9,3.825,3.975,2
"83","ENPAK20",4.05,3.975,4.125,6
"84","ENPAK20",4.2,4.125,4.275,1
"85","ENPAK20",4.35,4.275,4.425,3
"86","ENPAK20",4.5,4.425,4.575,4
"87","ENPAK20",4.65,4.575,4.725,5
"88","ENPAK20",4.8,4.725,4.875,0
"89","ENPAK20",4.95,4.875,5.025,0
"90","ENPAK20",5.1,5.025,5.175,0
"91","ENPAK20",5.25,5.175,5.325,0
"92","ENPAK20",5.4,5.325,5.475,0
"93","ENPAK20",5.55,5.475,5.625,0
"94","ENPAK20",5.7,5.625,5.775,0
"95","ENPAK20",5.85,5.775,5.925,0
"96","ENPAK20",6,5.925,6.075,0
"97","ENPAK20",6.15,6.075,6.225,0
"98","ENPAK20",6.3,6.225,6.375,0
"99","ENPAK20",6.45,6.375,6.525,0
"100","ENPAK20",6.6,6.525,6.675,0
"101","ENPAK20",6.75,6.675,6.825,0
"102","ENPAK20",6.9,6.825,6.975,0
"103","ENPAK20",7.05,6.975,7.125,0
"104","ENPAK20",7.2,7.125,7.275,0
"105","ENPAK20",7.35,7.275,7.425,0
"106","ENPAK20",7.5,7.425,7.575,0
"107","ENPAK20",7.65,7.575,7.725,0
"108","ENPAK20",7.8,7.725,7.875,0
"109","ENPAK20",7.95,7.875,8.025,0
"110","ENPAK20",8.1,8.025,8.175,0
"111","ENPAK21",0,-0.075,0.075,30
"112","ENPAK21",0.15,0.075,0.225,9
"113","ENPAK21",0.3,0.225,0.375,6
"114","ENPAK21",0.45,0.375,0.525,19
"115","ENPAK21",0.6,0.525,0.675,26
"116","ENPAK21",0.75,0.675,0.825,58
"117","ENPAK21",0.9,0.825,0.975,92
"118","ENPAK21",1.05,0.975,1.125,162
"119","ENPAK21",1.2,1.125,1.275,186
"120","ENPAK21",1.35,1.275,1.425,213
"121","ENPAK21",1.5,1.425,1.575,192
"122","ENPAK21",1.65,1.575,1.725,204
"123","ENPAK21",1.8,1.725,1.875,192
"124","ENPAK21",1.95,1.875,2.025,206
"125","ENPAK21",2.1,2.025,2.175,146
"126","ENPAK21",2.25,2.175,2.325,125
"127","ENPAK21",2.4,2.325,2.475,95
"128","ENPAK21",2.55,2.475,2.625,82
"129","ENPAK21",2.7,2.625,2.775,68
"130","ENPAK21",2.85,2.775,2.925,44
"131","ENPAK21",3,2.925,3.075,35
"132","ENPAK21",3.15,3.075,3.225,19
"133","ENPAK21",3.3,3.225,3.375,19
"134","ENPAK21",3.45,3.375,3.525,18
"135","ENPAK21",3.6,3.525,3.675,11
"136","ENPAK21",3.75,3.675,3.825,6
"137","ENPAK21",3.9,3.825,3.975,5
"138","ENPAK21",4.05,3.975,4.125,5
"139","ENPAK21",4.2,4.125,4.275,1
"140","ENPAK21",4.35,4.275,4.425,2
"141","ENPAK21",4.5,4.425,4.575,1
"142","ENPAK21",4.65,4.575,4.725,1
"143","ENPAK21",4.8,4.725,4.875,3
"144","ENPAK21",4.95,4.875,5.025,1
"145","ENPAK21",5.1,5.025,5.175,0
"146","ENPAK21",5.25,5.175,5.325,2
"147","ENPAK21",5.4,5.325,5.475,0
"148","ENPAK21",5.55,5.475,5.625,0
"149","ENPAK21",5.7,5.625,5.775,0
"150","ENPAK21",5.85,5.775,5.925,0
"151","ENPAK21",6,5.925,6.075,0
"152","ENPAK21",6.15,6.075,6.225,0
"153","ENPAK21",6.3,6.225,6.375,0
"154","ENPAK21",6.45,6.375,6.525,0
"155","ENPAK21",6.6,6.525,6.675,0
"156","ENPAK21",6.75,6.675,6.825,0
"157","ENPAK21",6.9,6.825,6.975,0
"158","ENPAK21",7.05,6.975,7.125,0
"159","ENPAK21",7.2,7.125,7.275,0
"160","ENPAK21",7.35,7.275,7.425,0
"161","ENPAK21",7.5,7.425,7.575,0
"162","ENPAK21",7.65,7.575,7.725,0
"163","ENPAK21",7.8,7.725,7.875,0
"164","ENPAK21",7.95,7.875,8.025,0
"165","ENPAK21",8.1,8.025,8.175,0
"166","ENPAK22",0,-0.075,0.075,31
"167","ENPAK22",0.15,0.075,0.225,4
"168","ENPAK22",0.3,0.225,0.375,10
"169","ENPAK22",0.45,0.375,0.525,14
"170","ENPAK22",0.6,0.525,0.675,32
"171","ENPAK22",0.75,0.675,0.825,73
"172","ENPAK22",0.9,0.825,0.975,107
"173","ENPAK22",1.05,0.975,1.125,141
"174","ENPAK22",1.2,1.125,1.275,176
"175","ENPAK22",1.35,1.275,1.425,202
"176","ENPAK22",1.5,1.425,1.575,197
"177","ENPAK22",1.65,1.575,1.725,238
"178","ENPAK22",1.8,1.725,1.875,186
"179","ENPAK22",1.95,1.875,2.025,181
"180","ENPAK22",2.1,2.025,2.175,133
"181","ENPAK22",2.25,2.175,2.325,149
"182","ENPAK22",2.4,2.325,2.475,88
"183","ENPAK22",2.55,2.475,2.625,77
"184","ENPAK22",2.7,2.625,2.775,66
"185","ENPAK22",2.85,2.775,2.925,46
"186","ENPAK22",3,2.925,3.075,26
"187","ENPAK22",3.15,3.075,3.225,36
"188","ENPAK22",3.3,3.225,3.375,13
"189","ENPAK22",3.45,3.375,3.525,11
"190","ENPAK22",3.6,3.525,3.675,9
"191","ENPAK22",3.75,3.675,3.825,11
"192","ENPAK22",3.9,3.825,3.975,4
"193","ENPAK22",4.05,3.975,4.125,5
"194","ENPAK22",4.2,4.125,4.275,4
"195","ENPAK22",4.35,4.275,4.425,3
"196","ENPAK22",4.5,4.425,4.575,4
"197","ENPAK22",4.65,4.575,4.725,3
"198","ENPAK22",4.8,4.725,4.875,0
"199","ENPAK22",4.95,4.875,5.025,1
"200","ENPAK22",5.1,5.025,5.175,1
"201","ENPAK22",5.25,5.175,5.325,0
"202","ENPAK22",5.4,5.325,5.475,0
"203","ENPAK22",5.55,5.475,5.625,1
"204","ENPAK22",5.7,5.625,5.775,0
"205","ENPAK22",5.85,5.775,5.925,0
"206","ENPAK22",6,5.925,6.075,0
"207","ENPAK22",6.15,6.075,6.225,0
"208","ENPAK22",6.3,6.225,6.375,0
"209","ENPAK22",6.45,6.375,6.525,0
"210","ENPAK22",6.6,6.525,6.675,0
"211","ENPAK22",6.75,6.675,6.825,1
"212","ENPAK22",6.9,6.825,6.975,0
"213","ENPAK22",7.05,6.975,7.125,0
"214","ENPAK22",7.2,7.125,7.275,0
"215","ENPAK22",7.35,7.275,7.425,0
"216","ENPAK22",7.5,7.425,7.575,0
"217","ENPAK22",7.65,7.575,7.725,0
"218","ENPAK22",7.8,7.725,7.875,0
"219","ENPAK22",7.95,7.875,8.025,0
"220","ENPAK22",8.1,8.025,8.175,0
"221","ENPAK23",0,-0.075,0.075,2
"222","ENPAK23",0.15,0.075,0.225,5
"223","ENPAK23",0.3,0.225,0.375,6
"224","ENPAK23",0.45,0.375,0.525,25
"225","ENPAK23",0.6,0.525,0.675,43
"226","ENPAK23",0.75,0.675,0.825,70
"227","ENPAK23",0.9,0.825,0.975,100
"228","ENPAK23",1.05,0.975,1.125,158
"229","ENPAK23",1.2,1.125,1.275,195
"230","ENPAK23",1.35,1.275,1.425,198
"231","ENPAK23",1.5,1.425,1.575,244
"232","ENPAK23",1.65,1.575,1.725,194
"233","ENPAK23",1.8,1.725,1.875,198
"234","ENPAK23",1.95,1.875,2.025,148
"235","ENPAK23",2.1,2.025,2.175,165
"236","ENPAK23",2.25,2.175,2.325,126
"237","ENPAK23",2.4,2.325,2.475,101
"238","ENPAK23",2.55,2.475,2.625,75
"239","ENPAK23",2.7,2.625,2.775,56
"240","ENPAK23",2.85,2.775,2.925,45
"241","ENPAK23",3,2.925,3.075,29
"242","ENPAK23",3.15,3.075,3.225,28
"243","ENPAK23",3.3,3.225,3.375,21
"244","ENPAK23",3.45,3.375,3.525,10
"245","ENPAK23",3.6,3.525,3.675,10
"246","ENPAK23",3.75,3.675,3.825,8
"247","ENPAK23",3.9,3.825,3.975,8
"248","ENPAK23",4.05,3.975,4.125,1
"249","ENPAK23",4.2,4.125,4.275,4
"250","ENPAK23",4.35,4.275,4.425,4
"251","ENPAK23",4.5,4.425,4.575,2
"252","ENPAK23",4.65,4.575,4.725,2
"253","ENPAK23",4.8,4.725,4.875,0
"254","ENPAK23",4.95,4.875,5.025,0
"255","ENPAK23",5.1,5.025,5.175,2
"256","ENPAK23",5.25,5.175,5.325,0
"257","ENPAK23",5.4,5.325,5.475,1
"258","ENPAK23",5.55,5.475,5.625,0
"259","ENPAK23",5.7,5.625,5.775,0
"260","ENPAK23",5.85,5.775,5.925,0
"261","ENPAK23",6,5.925,6.075,0
"262","ENPAK23",6.15,6.075,6.225,0
"263","ENPAK23",6.3,6.225,6.375,0
"264","ENPAK23",6.45,6.375,6.525,0
"265","ENPAK23",6.6,6.525,6.675,0
"266","ENPAK23",6.75,6.675,6.825,0
"267","ENPAK23",6.9,6.825,6.975,0
"268","ENPAK23",7.05,6.975,7.125,0
"269","ENPAK23",7.2,7.125,7.275,0
"270","ENPAK23",7.35,7.275,7.425,0
"271","ENPAK23",7.5,7.425,7.575,0
"272","ENPAK23",7.65,7.575,7.725,0
"273","ENPAK23",7.8,7.725,7.875,0
"274","ENPAK23",7.95,7.875,8.025,0
"275","ENPAK23",8.1,8.025,8.175,0
"276","ENPAK24",0,-0.075,0.075,3
"277","ENPAK24",0.15,0.075,0.225,4
"278","ENPAK24",0.3,0.225,0.375,12
"279","ENPAK24",0.45,0.375,0.525,25
"280","ENPAK24",0.6,0.525,0.675,41
"281","ENPAK24",0.75,0.675,0.825,57
"282","ENPAK24",0.9,0.825,0.975,114
"283","ENPAK24",1.05,0.975,1.125,157
"284","ENPAK24",1.2,1.125,1.275,197
"285","ENPAK24",1.35,1.275,1.425,206
"286","ENPAK24",1.5,1.425,1.575,219
"287","ENPAK24",1.65,1.575,1.725,207
"288","ENPAK24",1.8,1.725,1.875,173
"289","ENPAK24",1.95,1.875,2.025,162
"290","ENPAK24",2.1,2.025,2.175,163
"291","ENPAK24",2.25,2.175,2.325,147
"292","ENPAK24",2.4,2.325,2.475,93
"293","ENPAK24",2.55,2.475,2.625,74
"294","ENPAK24",2.7,2.625,2.775,66
"295","ENPAK24",2.85,2.775,2.925,42
"296","ENPAK24",3,2.925,3.075,35
"297","ENPAK24",3.15,3.075,3.225,18
"298","ENPAK24",3.3,3.225,3.375,28
"299","ENPAK24",3.45,3.375,3.525,10
"300","ENPAK24",3.6,3.525,3.675,8
"301","ENPAK24",3.75,3.675,3.825,8
"302","ENPAK24",3.9,3.825,3.975,3
"303","ENPAK24",4.05,3.975,4.125,3
"304","ENPAK24",4.2,4.125,4.275,0
"305","ENPAK24",4.35,4.275,4.425,3
"306","ENPAK24",4.5,4.425,4.575,2
"307","ENPAK24",4.65,4.575,4.725,0
"308","ENPAK24",4.8,4.725,4.875,1
"309","ENPAK24",4.95,4.875,5.025,2
"310","ENPAK24",5.1,5.025,5.175,0
"311","ENPAK24",5.25,5.175,5.325,0
"312","ENPAK24",5.4,5.325,5.475,0
"313","ENPAK24",5.55,5.475,5.625,1
"314","ENPAK24",5.7,5.625,5.775,0
"315","ENPAK24",5.85,5.775,5.925,0
"316","ENPAK24",6,5.925,6.075,0
"317","ENPAK24",6.15,6.075,6.225,0
"318","ENPAK24",6.3,6.225,6.375,0
"319","ENPAK24",6.45,6.375,6.525,0
"320","ENPAK24",6.6,6.525,6.675,0
"321","ENPAK24",6.75,6.675,6.825,0
"322","ENPAK24",6.9,6.825,6.975,0
"323","ENPAK24",7.05,6.975,7.125,0
"324","ENPAK24",7.2,7.125,7.275,0
"325","ENPAK24",7.35,7.275,7.425,0
"326","ENPAK24",7.5,7.425,7.575,0
"327","ENPAK24",7.65,7.575,7.725,0
"328","ENPAK24",7.8,7.725,7.875,0
"329","ENPAK24",7.95,7.875,8.025,0
"330","ENPAK24",8.1,8.025,8.175,0
"331","ENPAK25",0,-0.075,0.075,31
"332","ENPAK25",0.15,0.075,0.225,4
"333","ENPAK25",0.3,0.225,0.375,9
"334","ENPAK25",0.45,0.375,0.525,18
"335","ENPAK25",0.6,0.525,0.675,30
"336","ENPAK25",0.75,0.675,0.825,58
"337","ENPAK25",0.9,0.825,0.975,101
"338","ENPAK25",1.05,0.975,1.125,135
"339","ENPAK25",1.2,1.125,1.275,189
"340","ENPAK25",1.35,1.275,1.425,218
"341","ENPAK25",1.5,1.425,1.575,231
"342","ENPAK25",1.65,1.575,1.725,198
"343","ENPAK25",1.8,1.725,1.875,199
"344","ENPAK25",1.95,1.875,2.025,189
"345","ENPAK25",2.1,2.025,2.175,156
"346","ENPAK25",2.25,2.175,2.325,106
"347","ENPAK25",2.4,2.325,2.475,104
"348","ENPAK25",2.55,2.475,2.625,61
"349","ENPAK25",2.7,2.625,2.775,59
"350","ENPAK25",2.85,2.775,2.925,40
"351","ENPAK25",3,2.925,3.075,44
"352","ENPAK25",3.15,3.075,3.225,26
"353","ENPAK25",3.3,3.225,3.375,20
"354","ENPAK25",3.45,3.375,3.525,15
"355","ENPAK25",3.6,3.525,3.675,12
"356","ENPAK25",3.75,3.675,3.825,8
"357","ENPAK25",3.9,3.825,3.975,8
"358","ENPAK25",4.05,3.975,4.125,3
"359","ENPAK25",4.2,4.125,4.275,2
"360","ENPAK25",4.35,4.275,4.425,2
"361","ENPAK25",4.5,4.425,4.575,2
"362","ENPAK25",4.65,4.575,4.725,2
"363","ENPAK25",4.8,4.725,4.875,2
"364","ENPAK25",4.95,4.875,5.025,0
"365","ENPAK25",5.1,5.025,5.175,0
"366","ENPAK25",5.25,5.175,5.325,0
"367","ENPAK25",5.4,5.325,5.475,0
"368","ENPAK25",5.55,5.475,5.625,1
"369","ENPAK25",5.7,5.625,5.775,1
"370","ENPAK25",5.85,5.775,5.925,0
"371","ENPAK25",6,5.925,6.075,0
"372","ENPAK25",6.15,6.075,6.225,0
"373","ENPAK25",6.3,6.225,6.375,0
"374","ENPAK25",6.45,6.375,6.525,0
"375","ENPAK25",6.6,6.525,6.675,0
"376","ENPAK25",6.75,6.675,6.825,0
"377","ENPAK25",6.9,6.825,6.975,0
"378","ENPAK25",7.05,6.975,7.125,0
"379","ENPAK25",7.2,7.125,7.275,0
"380","ENPAK25",7.35,7.275,7.425,0
"381","ENPAK25",7.5,7.425,7.575,0
"382","ENPAK25",7.65,7.575,7.725,0
"383","ENPAK25",7.8,7.725,7.875,0
"384","ENPAK25",7.95,7.875,8.025,0
"385","ENPAK25",8.1,8.025,8.175,0
"386","ENPAK26",0,-0.075,0.075,36
"387","ENPAK26",0.15,0.075,0.225,3
"388","ENPAK26",0.3,0.225,0.375,9
"389","ENPAK26",0.45,0.375,0.525,11
"390","ENPAK26",0.6,0.525,0.675,29
"391","ENPAK26",0.75,0.675,0.825,69
"392","ENPAK26",0.9,0.825,0.975,105
"393","ENPAK26",1.05,0.975,1.125,142
"394","ENPAK26",1.2,1.125,1.275,191
"395","ENPAK26",1.35,1.275,1.425,195
"396","ENPAK26",1.5,1.425,1.575,224
"397","ENPAK26",1.65,1.575,1.725,211
"398","ENPAK26",1.8,1.725,1.875,217
"399","ENPAK26",1.95,1.875,2.025,162
"400","ENPAK26",2.1,2.025,2.175,156
"401","ENPAK26",2.25,2.175,2.325,124
"402","ENPAK26",2.4,2.325,2.475,90
"403","ENPAK26",2.55,2.475,2.625,75
"404","ENPAK26",2.7,2.625,2.775,63
"405","ENPAK26",2.85,2.775,2.925,43
"406","ENPAK26",3,2.925,3.075,31
"407","ENPAK26",3.15,3.075,3.225,24
"408","ENPAK26",3.3,3.225,3.375,18
"409","ENPAK26",3.45,3.375,3.525,21
"410","ENPAK26",3.6,3.525,3.675,13
"411","ENPAK26",3.75,3.675,3.825,6
"412","ENPAK26",3.9,3.825,3.975,5
"413","ENPAK26",4.05,3.975,4.125,1
"414","ENPAK26",4.2,4.125,4.275,0
"415","ENPAK26",4.35,4.275,4.425,3
"416","ENPAK26",4.5,4.425,4.575,4
"417","ENPAK26",4.65,4.575,4.725,1
"418","ENPAK26",4.8,4.725,4.875,0
"419","ENPAK26",4.95,4.875,5.025,0
"420","ENPAK26",5.1,5.025,5.175,0
"421","ENPAK26",5.25,5.175,5.325,0
"422","ENPAK26",5.4,5.325,5.475,0
"423","ENPAK26",5.55,5.475,5.625,0
"424","ENPAK26",5.7,5.625,5.775,0
"425","ENPAK26",5.85,5.775,5.925,0
"426","ENPAK26",6,5.925,6.075,2
"427","ENPAK26",6.15,6.075,6.225,0
"428","ENPAK26",6.3,6.225,6.375,0
"429","ENPAK26",6.45,6.375,6.525,0
"430","ENPAK26",6.6,6.525,6.675,0
"431","ENPAK26",6.75,6.675,6.825,0
"432","ENPAK26",6.9,6.825,6.975,0
"433","ENPAK26",7.05,6.975,7.125,0
"434","ENPAK26",7.2,7.125,7.275,0
"435","ENPAK26",7.35,7.275,7.425,0
"436","ENPAK26",7.5,7.425,7.575,0
"437","ENPAK26",7.65,7.575,7.725,0
"438","ENPAK26",7.8,7.725,7.875,0
"439","ENPAK26",7.95,7.875,8.025,0
"440","ENPAK26",8.1,8.025,8.175,0
"441","ENPAK27",0,-0.075,0.075,36
"442","ENPAK27",0.15,0.075,0.225,5
"443","ENPAK27",0.3,0.225,0.375,7
"444","ENPAK27",0.45,0.375,0.525,12
"445","ENPAK27",0.6,0.525,0.675,31
"446","ENPAK27",0.75,0.675,0.825,59
"447","ENPAK27",0.9,0.825,0.975,93
"448","ENPAK27",1.05,0.975,1.125,155
"449","ENPAK27",1.2,1.125,1.275,174
"450","ENPAK27",1.35,1.275,1.425,208
"451","ENPAK27",1.5,1.425,1.575,219
"452","ENPAK27",1.65,1.575,1.725,212
"453","ENPAK27",1.8,1.725,1.875,196
"454","ENPAK27",1.95,1.875,2.025,180
"455","ENPAK27",2.1,2.025,2.175,146
"456","ENPAK27",2.25,2.175,2.325,123
"457","ENPAK27",2.4,2.325,2.475,103
"458","ENPAK27",2.55,2.475,2.625,77
"459","ENPAK27",2.7,2.625,2.775,61
"460","ENPAK27",2.85,2.775,2.925,45
"461","ENPAK27",3,2.925,3.075,33
"462","ENPAK27",3.15,3.075,3.225,36
"463","ENPAK27",3.3,3.225,3.375,15
"464","ENPAK27",3.45,3.375,3.525,20
"465","ENPAK27",3.6,3.525,3.675,10
"466","ENPAK27",3.75,3.675,3.825,10
"467","ENPAK27",3.9,3.825,3.975,4
"468","ENPAK27",4.05,3.975,4.125,4
"469","ENPAK27",4.2,4.125,4.275,2
"470","ENPAK27",4.35,4.275,4.425,2
"471","ENPAK27",4.5,4.425,4.575,0
"472","ENPAK27",4.65,4.575,4.725,1
"473","ENPAK27",4.8,4.725,4.875,2
"474","ENPAK27",4.95,4.875,5.025,1
"475","ENPAK27",5.1,5.025,5.175,0
"476","ENPAK27",5.25,5.175,5.325,0
"477","ENPAK27",5.4,5.325,5.475,0
"478","ENPAK27",5.55,5.475,5.625,0
"479","ENPAK27",5.7,5.625,5.775,1
"480","ENPAK27",5.85,5.775,5.925,0
"481","ENPAK27",6,5.925,6.075,0
"482","ENPAK27",6.15,6.075,6.225,0
"483","ENPAK27",6.3,6.225,6.375,0
"484","ENPAK27",6.45,6.375,6.525,1
"485","ENPAK27",6.6,6.525,6.675,0
"486","ENPAK27",6.75,6.675,6.825,0
"487","ENPAK27",6.9,6.825,6.975,0
"488","ENPAK27",7.05,6.975,7.125,0
"489","ENPAK27",7.2,7.125,7.275,0
"490","ENPAK27",7.35,7.275,7.425,0
"491","ENPAK27",7.5,7.425,7.575,0
"492","ENPAK27",7.65,7.575,7.725,0
"493","ENPAK27",7.8,7.725,7.875,0
"494","ENPAK27",7.95,7.875,8.025,0
"495","ENPAK27",8.1,8.025,8.175,0
"496","ENPAK28",0,-0.075,0.075,32
"497","ENPAK28",0.15,0.075,0.225,9
"498","ENPAK28",0.3,0.225,0.375,9
"499","ENPAK28",0.45,0.375,0.525,19
"500","ENPAK28",0.6,0.525,0.675,33
"501","ENPAK28",0.75,0.675,0.825,69
"502","ENPAK28",0.9,0.825,0.975,99
"503","ENPAK28",1.05,0.975,1.125,162
"504","ENPAK28",1.2,1.125,1.275,206
"505","ENPAK28",1.35,1.275,1.425,204
"506","ENPAK28",1.5,1.425,1.575,215
"507","ENPAK28",1.65,1.575,1.725,212
"508","ENPAK28",1.8,1.725,1.875,188
"509","ENPAK28",1.95,1.875,2.025,184
"510","ENPAK28",2.1,2.025,2.175,157
"511","ENPAK28",2.25,2.175,2.325,133
"512","ENPAK28",2.4,2.325,2.475,97
"513","ENPAK28",2.55,2.475,2.625,67
"514","ENPAK28",2.7,2.625,2.775,48
"515","ENPAK28",2.85,2.775,2.925,38
"516","ENPAK28",3,2.925,3.075,33
"517","ENPAK28",3.15,3.075,3.225,23
"518","ENPAK28",3.3,3.225,3.375,13
"519","ENPAK28",3.45,3.375,3.525,9
"520","ENPAK28",3.6,3.525,3.675,7
"521","ENPAK28",3.75,3.675,3.825,4
"522","ENPAK28",3.9,3.825,3.975,5
"523","ENPAK28",4.05,3.975,4.125,2
"524","ENPAK28",4.2,4.125,4.275,1
"525","ENPAK28",4.35,4.275,4.425,1
"526","ENPAK28",4.5,4.425,4.575,2
"527","ENPAK28",4.65,4.575,4.725,0
"528","ENPAK28",4.8,4.725,4.875,0
"529","ENPAK28",4.95,4.875,5.025,0
"530","ENPAK28",5.1,5.025,5.175,1
"531","ENPAK28",5.25,5.175,5.325,0
"532","ENPAK28",5.4,5.325,5.475,0
"533","ENPAK28",5.55,5.475,5.625,1
"534","ENPAK28",5.7,5.625,5.775,0
"535","ENPAK28",5.85,5.775,5.925,0
"536","ENPAK28",6,5.925,6.075,0
"537","ENPAK28",6.15,6.075,6.225,0
"538","ENPAK28",6.3,6.225,6.375,0
"539","ENPAK28",6.45,6.375,6.525,0
"540","ENPAK28",6.6,6.525,6.675,0
"541","ENPAK28",6.75,6.675,6.825,0
"542","ENPAK28",6.9,6.825,6.975,0
"543","ENPAK28",7.05,6.975,7.125,0
"544","ENPAK28",7.2,7.125,7.275,0
"545","ENPAK28",7.35,7.275,7.425,0
"546","ENPAK28",7.5,7.425,7.575,0
"547","ENPAK28",7.65,7.575,7.725,0
"548","ENPAK28",7.8,7.725,7.875,0
"549","ENPAK28",7.95,7.875,8.025,0
"550","ENPAK28",8.1,8.025,8.175,1
"551","ENPAK29",0,-0.075,0.075,1
"552","ENPAK29",0.15,0.075,0.225,4
"553","ENPAK29",0.3,0.225,0.375,9
"554","ENPAK29",0.45,0.375,0.525,28
"555","ENPAK29",0.6,0.525,0.675,40
"556","ENPAK29",0.75,0.675,0.825,60
"557","ENPAK29",0.9,0.825,0.975,118
"558","ENPAK29",1.05,0.975,1.125,144
"559","ENPAK29",1.2,1.125,1.275,177
"560","ENPAK29",1.35,1.275,1.425,215
"561","ENPAK29",1.5,1.425,1.575,213
"562","ENPAK29",1.65,1.575,1.725,214
"563","ENPAK29",1.8,1.725,1.875,186
"564","ENPAK29",1.95,1.875,2.025,182
"565","ENPAK29",2.1,2.025,2.175,141
"566","ENPAK29",2.25,2.175,2.325,124
"567","ENPAK29",2.4,2.325,2.475,116
"568","ENPAK29",2.55,2.475,2.625,69
"569","ENPAK29",2.7,2.625,2.775,65
"570","ENPAK29",2.85,2.775,2.925,43
"571","ENPAK29",3,2.925,3.075,27
"572","ENPAK29",3.15,3.075,3.225,42
"573","ENPAK29",3.3,3.225,3.375,16
"574","ENPAK29",3.45,3.375,3.525,12
"575","ENPAK29",3.6,3.525,3.675,9
"576","ENPAK29",3.75,3.675,3.825,12
"577","ENPAK29",3.9,3.825,3.975,5
"578","ENPAK29",4.05,3.975,4.125,1
"579","ENPAK29",4.2,4.125,4.275,4
"580","ENPAK29",4.35,4.275,4.425,3
"581","ENPAK29",4.5,4.425,4.575,3
"582","ENPAK29",4.65,4.575,4.725,1
"583","ENPAK29",4.8,4.725,4.875,0
