"","SampleId","PopId","SubPopId","type","length","bcftools","RZooRoH"
"164","ENPCA08","ENP","CA","Total length (Mb)","0.1_1",85599544,93209837
"165","ENPOR10","ENP","OR","Total length (Mb)","0.1_1",74835383,76892588
"166","ENPOR11","ENP","OR","Total length (Mb)","0.1_1",80956373,87864922
"167","ENPOR13","ENP","OR","Total length (Mb)","0.1_1",87548064,84653478
"168","ENPWA14","ENP","WA","Total length (Mb)","0.1_1",86636345,85834483
"169","ENPWA15","ENP","WA","Total length (Mb)","0.1_1",71941013,77443762
"170","GOC002","GOC","GOC","Total length (Mb)","0.1_1",398574617,439037500
"171","GOC006","GOC","GOC","Total length (Mb)","0.1_1",389246042,414017450
"172","GOC025","GOC","GOC","Total length (Mb)","0.1_1",412595469,451692014
"173","GOC038","GOC","GOC","Total length (Mb)","0.1_1",397444832,423225439
"174","GOC050","GOC","GOC","Total length (Mb)","0.1_1",436405335,464326682
"175","GOC053","GOC","GOC","Total length (Mb)","0.1_1",399320814,429057347
"176","GOC063","GOC","GOC","Total length (Mb)","0.1_1",380424210,408243208
"177","GOC068","GOC","GOC","Total length (Mb)","0.1_1",394388640,428416828
"178","GOC071","GOC","GOC","Total length (Mb)","0.1_1",395930155,425011012
"179","GOC077","GOC","GOC","Total length (Mb)","0.1_1",392084210,427769116
"180","GOC080","GOC","GOC","Total length (Mb)","0.1_1",392352014,430544915
"181","GOC082","GOC","GOC","Total length (Mb)","0.1_1",365232395,401661291
"182","GOC086","GOC","GOC","Total length (Mb)","0.1_1",419867288,461087601
"183","GOC091","GOC","GOC","Total length (Mb)","0.1_1",411372614,447863168
"184","GOC100","GOC","GOC","Total length (Mb)","0.1_1",393663316,426789735
"185","GOC111","GOC","GOC","Total length (Mb)","0.1_1",419202372,463539743
"186","GOC112","GOC","GOC","Total length (Mb)","0.1_1",410916246,459373402
"187","GOC116","GOC","GOC","Total length (Mb)","0.1_1",429067306,474993688
"188","GOC125","GOC","GOC","Total length (Mb)","0.1_1",372851176,402811878
"189","ENPAK19","ENP","AK","Total length (Mb)","1_5",5708217,6917831
"190","ENPAK20","ENP","AK","Total length (Mb)","1_5",8071811,8072604
"191","ENPAK21","ENP","AK","Total length (Mb)","1_5",55966183,53535762
"192","ENPAK22","ENP","AK","Total length (Mb)","1_5",52849177,54183337
"193","ENPAK23","ENP","AK","Total length (Mb)","1_5",4343599,3073046
"194","ENPAK24","ENP","AK","Total length (Mb)","1_5",5910684,7057841
"195","ENPAK25","ENP","AK","Total length (Mb)","1_5",53543918,53557800
"196","ENPAK26","ENP","AK","Total length (Mb)","1_5",55735028,55912591
"197","ENPAK27","ENP","AK","Total length (Mb)","1_5",60614438,58187611
"198","ENPAK28","ENP","AK","Total length (Mb)","1_5",63073011,60558477
"199","ENPAK29","ENP","AK","Total length (Mb)","1_5",1511514,1511676
"200","ENPAK30","ENP","AK","Total length (Mb)","1_5",9099969,7750566
"201","ENPBC16","ENP","BC","Total length (Mb)","1_5",10331389,10331988
"202","ENPBC17","ENP","BC","Total length (Mb)","1_5",52154689,50920800
"203","ENPBC18","ENP","BC","Total length (Mb)","1_5",54962450,54963024
"204","ENPCA01","ENP","CA","Total length (Mb)","1_5",79740462,76410592
"205","ENPCA02","ENP","CA","Total length (Mb)","1_5",5690845,5692583
"206","ENPCA03","ENP","CA","Total length (Mb)","1_5",62135620,63177383
"207","ENPCA04","ENP","CA","Total length (Mb)","1_5",75504392,74782941
"208","ENPCA05","ENP","CA","Total length (Mb)","1_5",42193128,41288141
"209","ENPCA06","ENP","CA","Total length (Mb)","1_5",71601293,72717492
"210","ENPCA07","ENP","CA","Total length (Mb)","1_5",2811775,2796066
"211","ENPCA08","ENP","CA","Total length (Mb)","1_5",4699382,3530773
"212","ENPOR10","ENP","OR","Total length (Mb)","1_5",4037105,2994757
"213","ENPOR11","ENP","OR","Total length (Mb)","1_5",11340144,9695141
"214","ENPOR13","ENP","OR","Total length (Mb)","1_5",62073940,60983974
"215","ENPWA14","ENP","WA","Total length (Mb)","1_5",51608493,51656686
"216","ENPWA15","ENP","WA","Total length (Mb)","1_5",9061892,8692239
"217","GOC002","GOC","GOC","Total length (Mb)","1_5",486986314,472930894
"218","GOC006","GOC","GOC","Total length (Mb)","1_5",446730017,437787813
"219","GOC025","GOC","GOC","Total length (Mb)","1_5",441874045,409231367
"220","GOC038","GOC","GOC","Total length (Mb)","1_5",447566626,439605458
"221","GOC050","GOC","GOC","Total length (Mb)","1_5",403910981,398100510
"222","GOC053","GOC","GOC","Total length (Mb)","1_5",442238913,426917135
