"","SampleId","PopId","SubPopId","MutType","variable","value"
"268","ENPAK22","ENP","AK","TOL","Heterozygous",5660.51739827647
"269","ENPAK23","ENP","AK","TOL","Heterozygous",5797.47424812479
"270","ENPAK24","ENP","AK","TOL","Heterozygous",5815.15492455521
"271","ENPAK25","ENP","AK","TOL","Heterozygous",5705.0920761618
"272","ENPAK26","ENP","AK","TOL","Heterozygous",5746.70025479124
"273","ENPAK27","ENP","AK","TOL","Heterozygous",5875.12125431224
"274","ENPAK28","ENP","AK","TOL","Heterozygous",5638.77033385745
"275","ENPAK29","ENP","AK","TOL","Heterozygous",5823.94966446442
"276","ENPAK30","ENP","AK","TOL","Heterozygous",5711.75477921627
"277","ENPBC16","ENP","BC","TOL","Heterozygous",5833.22716783516
"278","ENPBC17","ENP","BC","TOL","Heterozygous",5839.16429472354
"279","ENPBC18","ENP","BC","TOL","Heterozygous",5828.93011116031
"280","ENPCA02","ENP","CA","TOL","Heterozygous",5785.52711553576
"281","ENPCA03","ENP","CA","TOL","Heterozygous",5810.45710816988
"282","ENPCA04","ENP","CA","TOL","Heterozygous",5768.83296634162
"283","ENPCA05","ENP","CA","TOL","Heterozygous",5520.75208023031
"284","ENPCA06","ENP","CA","TOL","Heterozygous",5704.11323773023
"285","ENPCA07","ENP","CA","TOL","Heterozygous",5841.56626771727
"286","ENPCA08","ENP","CA","TOL","Heterozygous",5626.64253328919
"287","ENPOR10","ENP","OR","TOL","Heterozygous",5902.66181041181
"288","ENPOR11","ENP","OR","TOL","Heterozygous",5768.05820484496
"289","ENPOR13","ENP","OR","TOL","Heterozygous",5776.49109717332
"290","ENPWA14","ENP","WA","TOL","Heterozygous",5836.08112116269
"291","ENPWA15","ENP","WA","TOL","Heterozygous",5835.86632014547
"292","GOC002","GOC","GOC","TOL","Heterozygous",3164.45622360966
"293","GOC006","GOC","GOC","TOL","Heterozygous",3804.15280249283
"294","GOC025","GOC","GOC","TOL","Heterozygous",3402.57450173589
"295","GOC038","GOC","GOC","TOL","Heterozygous",3555.32612157288
"296","GOC050","GOC","GOC","TOL","Heterozygous",3581.15704238434
"297","GOC053","GOC","GOC","TOL","Heterozygous",3488.94914586984
"298","GOC063","GOC","GOC","TOL","Heterozygous",3790.72220875726
"299","GOC068","GOC","GOC","TOL","Heterozygous",3601.4127517129
"300","GOC071","GOC","GOC","TOL","Heterozygous",3533.7601419084
"301","GOC077","GOC","GOC","TOL","Heterozygous",3709.33051826
"302","GOC082","GOC","GOC","TOL","Heterozygous",3613.66638671292
"303","GOC086","GOC","GOC","TOL","Heterozygous",3402.83930473642
"304","GOC091","GOC","GOC","TOL","Heterozygous",3591.6908258162
"305","GOC100","GOC","GOC","TOL","Heterozygous",3706.17804784304
"306","GOC112","GOC","GOC","TOL","Heterozygous",3418.75081866315
"307","GOC116","GOC","GOC","TOL","Heterozygous",3156.47880277865
"308","GOC125","GOC","GOC","TOL","Heterozygous",3992.75099555778
"309","ENPAK19","ENP","AK","LOF","Heterozygous",162.209235579615
"310","ENPAK20","ENP","AK","LOF","Heterozygous",158.822559612519
"311","ENPAK21","ENP","AK","LOF","Heterozygous",166.76105895098
"312","ENPAK22","ENP","AK","LOF","Heterozygous",149.399802770388
"313","ENPAK23","ENP","AK","LOF","Heterozygous",161.899648213294
"314","ENPAK24","ENP","AK","LOF","Heterozygous",139.908833971784
