"","ID1","ID2","kinship_B_separate_ENP","kinship_C_middle_ENP","kinship_A_all_ENP","PopId","SubPopId","SubPopId2"
"139","GOC006","GOC071",0.057943242899001,0.057943242899001,0.057943242899001,"GOC","GOC","GOC"
"140","GOC006","GOC077",0.0697071324791989,0.0697071324791989,0.0697071324791989,"GOC","GOC","GOC"
"141","GOC006","GOC080",0.248246058151298,0.248246058151298,0.248246058151298,"GOC","GOC","GOC"
"142","GOC006","GOC082",0.0595116347861695,0.0595116347861695,0.0595116347861695,"GOC","GOC","GOC"
"143","GOC006","GOC086",0.070130947564954,0.070130947564954,0.070130947564954,"GOC","GOC","GOC"
"144","GOC006","GOC091",0.0542939650209382,0.0542939650209382,0.0542939650209382,"GOC","GOC","GOC"
"145","GOC006","GOC100",0.0479972978765044,0.0479972978765044,0.0479972978765044,"GOC","GOC","GOC"
"146","GOC006","GOC111",0.104209231086011,0.104209231086011,0.104209231086011,"GOC","GOC","GOC"
"147","GOC006","GOC112",0.0480982480760737,0.0480982480760737,0.0480982480760737,"GOC","GOC","GOC"
"148","GOC006","GOC116",0.0689445573857515,0.0689445573857515,0.0689445573857515,"GOC","GOC","GOC"
"149","GOC006","GOC125",0.0784274883751537,0.0784274883751537,0.0784274883751537,"GOC","GOC","GOC"
"150","GOC010","GOC025",0.0608126021179154,0.0608126021179154,0.0608126021179154,"GOC","GOC","GOC"
"151","GOC010","GOC038",0.0649897482005024,0.0649897482005024,0.0649897482005024,"GOC","GOC","GOC"
"152","GOC010","GOC050",0.0580491489758025,0.0580491489758025,0.0580491489758025,"GOC","GOC","GOC"
"153","GOC010","GOC053",0.0569075408794794,0.0569075408794794,0.0569075408794794,"GOC","GOC","GOC"
"154","GOC010","GOC063",0.06510206235473,0.06510206235473,0.06510206235473,"GOC","GOC","GOC"
"155","GOC010","GOC068",0.0461887395379073,0.0461887395379073,0.0461887395379073,"GOC","GOC","GOC"
"156","GOC010","GOC071",0.0647359244597974,0.0647359244597974,0.0647359244597974,"GOC","GOC","GOC"
"157","GOC010","GOC077",0.0789667516883358,0.0789667516883358,0.0789667516883358,"GOC","GOC","GOC"
"158","GOC010","GOC080",0.0736746364389377,0.0736746364389377,0.0736746364389377,"GOC","GOC","GOC"
"159","GOC010","GOC082",0.0746147290289463,0.0746147290289463,0.0746147290289463,"GOC","GOC","GOC"
"160","GOC010","GOC086",0.0560849337097488,0.0560849337097488,0.0560849337097488,"GOC","GOC","GOC"
"161","GOC010","GOC091",0.0589034442851642,0.0589034442851642,0.0589034442851642,"GOC","GOC","GOC"
"162","GOC010","GOC100",0,0,0,"GOC","GOC","GOC"
"163","GOC010","GOC111",0.0724927288904469,0.0724927288904469,0.0724927288904469,"GOC","GOC","GOC"
"164","GOC010","GOC112",0.0362084295092093,0.0362084295092093,0.0362084295092093,"GOC","GOC","GOC"
